0,0,0,0,0% Black
1,26,26,26,2.5% Grey
2,51,51,51,5% Grey
3,77,77,77,7.5% Grey
4,102,102,102,10% Grey
5,153,153,153,15% Grey
6,205,205,205,20% Grey
7,256,256,256,25% Grey
8,307,307,307,30% Grey
9,358,358,358,35% Grey
10,409,409,409,40% Grey
11,460,460,460,45% Grey
12,512,512,512,50% Grey
13,563,563,563,55% Grey
14,614,614,614,60% Grey
15,665,665,665,65% Grey
16,716,716,716,70% Grey
17,767,767,767,75% Grey
18,818,818,818,80% Grey
19,870,870,870,85% Grey
20,921,921,921,90% Grey
21,972,972,972,95% Grey
22,1023,1023,1023,100% White
