0,64,64,64,0% Black
1,86,86,86,2.5% Grey
2,108,108,108,5% Grey
3,130,130,130,7.5% Grey
4,152,152,152,10% Grey
5,195,195,195,15% Grey
6,239,239,239,20% Grey
7,283,283,283,25% Grey
8,327,327,327,30% Grey
9,371,371,371,35% Grey
10,414,414,414,40% Grey
11,458,458,458,45% Grey
12,502,502,502,50% Grey
13,546,546,546,55% Grey
14,590,590,590,60% Grey
15,633,633,633,65% Grey
16,677,677,677,70% Grey
17,721,721,721,75% Grey
18,765,765,765,80% Grey
19,809,809,809,85% Grey
20,852,852,852,90% Grey
21,896,896,896,95% Grey
22,940,940,940,100% White
